Company,EffectiveDate,City,Type1,Price1,Type2,Price2,Type3,Price3,Type4,Price4,Type5,Price5
Bharat Petroleum,26-02-2018 06:00,KRISHNA,Petrol,77.56,Speed,80.34,Diesel,69.43,,,,
Bharat Petroleum,26-02-2018 06:00,KAMRUP METROPOLITAN,Petrol,73.49,Speed,76.31,Diesel,64.82,,,,
Bharat Petroleum,26-02-2018 06:00,PATNA,Petrol,76.73,Speed,79.87,Diesel,66.72,,,,
Bharat Petroleum,26-02-2018 06:00,NORTH GOA,Petrol,65.89,Speed,68.54,Diesel,63.21,,,,
Bharat Petroleum,26-02-2018 06:00,AHMEDABAD1,Petrol,70.97,Speed,73.85,Diesel,66.84,,,,
Bharat Petroleum,26-02-2018 06:00,THIRUVANANTHAPURAM,Petrol,75.38,Speed,78.19,Diesel,67.48,HiSpeed,71.12,,
Bharat Petroleum,26-02-2018 06:00,BHOPAL,Petrol,77.35,Speed,80.32,Diesel,65.7,,,,
Bharat Petroleum,26-02-2018 06:00,BANGLAORE-URB,Petrol,72.64,Speed,75.66,Speed 97,93.61,Diesel,63.19,,
Bharat Petroleum,26-02-2018 06:00,KHURDA,Petrol,70.37,Speed,73.19,Diesel,66.66,HiSpeed,70.23,,
Bharat Petroleum,26-02-2018 06:00,RAIPUR,Petrol,71.94,Speed,74.73,Diesel,67.08,,,,
Bharat Petroleum,26-02-2018 06:00,RANCHI,Petrol,72.59,Speed,75.39,Diesel,65.73,,,,
Bharat Petroleum,26-02-2018 06:00,IMPHAL WEST,Petrol,69.69,Speed,72.8,Diesel,60.33,,,,
Bharat Petroleum,26-02-2018 06:00,EAST KHASI HILLS,Petrol,70.92,Speed,73.66,Diesel,61.95,,,,
Bharat Petroleum,26-02-2018 06:00,DIMAPUR,Petrol,69.37,Speed,72.23,Diesel,60.13,,,,
Bharat Petroleum,26-02-2018 06:00,TRIPURA NORTH,Petrol,66.76,Diesel,59.68,,,,,,
Bharat Petroleum,26-02-2018 06:00,SIANG EAST,Petrol,68.46,Diesel,60.42,,,,,,
Bharat Petroleum,26-02-2018 06:00,MEDCHAL MALKAJGIRI,Petrol,75.73,Speed,78.8,Diesel,67.52,,,,
Bharat Petroleum,26-02-2018 06:00,AIZAWL,Petrol,67.61,Diesel,59.63,,,,,,
Bharat Petroleum,26-02-2018 06:00,PONDICHERRY,Petrol,70.44,Speed,73.15,Diesel,64.25,,,,
Bharat Petroleum,26-02-2018 06:00,Mumbai,Petrol,79.4,Speed,82.22,Speed 97,99.74,Diesel,66.19,,
Bharat Petroleum,26-02-2018 06:00,Delhi,Petrol,71.52,Speed,74.74,Speed 97,92.17,Diesel,62.15,HiSpeed,65.5
Bharat Petroleum,26-02-2018 06:00,Kolkata,Petrol,74.27,Speed,77.07,Speed 97,94.45,Diesel,64.84,HiSpeed,68.18
Bharat Petroleum,26-02-2018 06:00,Chennai,Petrol,74.16,Speed,77.07,Speed 97,95.76,Diesel,65.52,,
Bharat Petroleum,26-02-2018 06:00,Chandigarh,Petrol,68.78,Speed,71.46,Diesel,60.33,,,,
Bharat Petroleum,26-02-2018 06:00,Jalandhar,Petrol,76.57,Speed,79.45,Diesel,62.15,,,,
Bharat Petroleum,26-02-2018 06:00,Jaipur,Petrol,74.44,Speed,77.21,Diesel,66.57,,,,
Bharat Petroleum,26-02-2018 06:00,Gangtok,Petrol,73.83,Speed,76.99,Diesel,62.72,,,,
Bharat Petroleum,26-02-2018 06:00,Lucknow,Petrol,73.38,Speed,75.68,Diesel,62.73,,,,
Bharat Petroleum,26-02-2018 06:00,Dehradun,Petrol,73.89,Speed,76.18,Diesel,62.88,,,,
Bharat Petroleum,26-02-2018 06:00,Ambala,Petrol,71.64,Speed,74.42,Diesel,62.62,,,,
Bharat Petroleum,26-02-2018 06:00,Shimla (Dhalli),Petrol,71.92,Diesel,61.99,,,,,,
Bharat Petroleum,26-02-2018 06:00,Jammu,Petrol,73.37,Speed,76.02,Diesel,63.36,,,,
Bharat Petroleum,26-02-2018 06:00,Srinagar,Petrol,75.97,Speed,78.62,Diesel,65.49,,,,
